,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
L,0.5075981629923049,0.4940600747275099,0.4707950124301985,0.5124257079817359,0.608732106674282,0.4941187166754813,0.4825013774974522,0.5638127721966343,0.4906421429305916,0.5096785889442501,0.4583435208239298,0.42250802427689826,0.47896463523264604,0.5304760232936439,0.5545750205925043,0.5525794109084572,0.4695389950952283,0.4959552590667001,0.5683564272527969,0.5187550291700327,0.0,0.40001893842211017,0.4228584834320611,0.8156935054418143,0.4979792129670085,0.645821686521556,0.4938043846209587,0.271763343965833,0.4650976074481467,0.5507889558974173,0.4418702350927735,0.5371739708734673,0.6533602982759616,0.5778567326504209,0.4901128868649151,0.4404534685862421,0.573072757280445,0.49162088498523093,0.6781840600547357
M,0.515694883765973,0.4899697437962548,0.5240371885961225,0.5206604640533656,0.5986752294619297,0.5338907574424406,0.41410444572217575,0.5178656274977589,0.48269122886658594,0.5407204486560557,0.47238771335354507,0.4513209979744596,0.5379799069377141,0.47450848874393564,0.4500250370499011,0.5292021579750762,0.46619102968166576,0.4963619641734928,0.4706448473399934,0.4827061512294369,0.3891059858569431,0.0,0.3167045008831856,0.8039980269655013,0.5096248788475788,0.7200323933868963,0.46817417717651333,0.40735560846802843,0.47325577940898805,0.5950831025951225,0.42378062370395475,0.5134557663447038,0.7261786509587929,0.5594519902303873,0.38742736611138523,0.49183762362944966,0.6754619281620843,0.49979929250071914,0.6522984682734243
N,0.5168700943423753,0.5067906658096317,0.494072329394041,0.541738800992087,0.562901185273106,0.502835036277473,0.44968334451848413,0.448621974566221,0.5179069875930542,0.45826958249684385,0.45973096909523264,0.4568125340995744,0.48565511231767106,0.4929626606450815,0.5521904782225341,0.5428767736059499,0.46530963937942105,0.4995104255201019,0.4812445284631228,0.4754425197333824,0.4187079965153385,0.3626550157488424,0.0,0.7959788062109814,0.5122754504776262,0.6817980697135175,0.4269089079811199,0.4092649324237642,0.4678907074871788,0.48039118737972175,0.49505576284153746,0.574740133142888,0.6895665548211161,0.532989235844902,0.4334596221976342,0.48964215414249956,0.7389672311779784,0.5015950549100877,0.6818957660577107
NG,0.4984232555937181,0.519152723920465,0.5376690529947316,0.5582084081325227,0.5440898599528511,0.5089110806257267,0.5374523066523159,0.5304407265324275,0.5031733498318807,0.5682447688716805,0.5377323643265519,0.5035272862739398,0.5101735856305356,0.5398394217597902,0.501808910258123,0.522140200702215,0.5141646172293768,0.4956612031521787,0.5355640316522144,0.542350354653909,0.4797637485128588,0.46021719846083303,0.23983461007774298,0.0,0.5395722407179527,0.6227953500743478,0.5488256280745556,0.46238424953792967,0.48585862504299066,0.5840305283064767,0.4887083049092681,0.43732348542535043,0.5876588789946372,0.5519499389501187,0.5535785124537175,0.4707340875835668,0.6058273129947965,0.49576411127734454,0.6773288512246691
OW,0.3565601986906564,0.33575035019910365,0.27381567370742854,0.32767398305171214,0.4178687820787972,0.3400708345176756,0.5012294001957972,0.5564586932453963,0.49182670563849257,0.651201523319278,0.2679551476149599,0.3131757998371525,0.3122569892688751,0.5526992947390403,0.6045345861687389,0.6615399471978686,0.29610594221948183,0.312380573278958,0.5850786922320002,0.5633528697578335,0.42210658504198745,0.5234765508611661,0.5206342784877047,0.9227317256671357,0.0,0.40740276166709816,0.4786836477255744,0.45303270369854653,0.5016326646757528,0.7088290553249282,0.4561820520520248,0.5983958946353661,0.5939276781630075,0.39293148716157206,0.5702982509994402,0.6176496442938866,0.7567374240664763,0.5074824645446728,0.8309053884847334
OY,0.42185256206966326,0.45332691268572983,0.40316728273564223,0.4273684858366831,0.44590248202155724,0.3752617708694765,0.5122795774832404,0.5636285475159786,0.47308286644436753,0.6192659742441032,0.4032923125000211,0.4123028934756381,0.28805364493219504,0.5810778734114121,0.6290872047225634,0.6104044657785229,0.3856058427597725,0.3929031291601527,0.5892413585531975,0.5979657698433923,0.49549046782975203,0.5682476902325319,0.5332687330044725,0.8089959417156832,0.31536951809236324,0.0,0.5338848535898145,0.4669259559345146,0.5281265234054204,0.59409382971454,0.49428383104271956,0.6081005145269482,0.5323545967300233,0.4032043376842535,0.5644495845166351,0.6239131191770996,0.6240235930469804,0.5386329890497294,0.7115261472868625
P,0.5590065988403343,0.5029197009927521,0.4965686159452317,0.5034356271736021,0.5909385126126971,0.4725021968178345,0.25896475511364875,0.46772962202862645,0.5099505261039092,0.5482122546596845,0.4419489841125608,0.46293356487480297,0.45168657912882093,0.2882162010728408,0.4776877868433179,0.6115575874808118,0.4744985071515006,0.4878690564780205,0.5686066998789386,0.287674602251135,0.48866988592215166,0.4766088635582095,0.4309988475660032,0.9249335651164431,0.471378656620607,0.6809386929512988,0.0,0.4616525759366035,0.42369023545824186,0.6014300932211413,0.4203402062244434,0.5464382736064085,0.7028857125092727,0.5229536441892909,0.44689170268452455,0.5397874212772974,0.7036606264359475,0.48487054684043834,0.6520526975134233
R,0.5123648030579193,0.4410299485491844,0.4472477382297282,0.5606073124750509,0.5437082733960492,0.4982349807839753,0.49776515315835573,0.48769684889494164,0.4711256398184072,0.5732769813620826,0.44184326496624926,0.2562394957622925,0.45148265261577497,0.5165001022986397,0.5831177786170099,0.5785449430831957,0.4518474422369403,0.47154816563727275,0.5311930808854717,0.5310435342295821,0.2858394735240042,0.43788588113114524,0.4358592698858197,0.8241879583333603,0.478517853990082,0.6474800970558622,0.48889482587404826,0.0,0.40289471346182026,0.5995382753857502,0.45964312468315754,0.5481195159917616,0.6781645453896411,0.5459355348138142,0.5325927590965389,0.4947450169562795,0.6266313877208909,0.44965210034808556,0.7517069547080788
S,0.49635512787419106,0.4894053023943641,0.4555309435766683,0.531187962581149,0.5920908266391248,0.5188384595172424,0.4756010793365787,0.3632155731896008,0.4621543344999459,0.5619542436467897,0.4505334096852329,0.4470899319577269,0.4546368367935181,0.43839794031317486,0.5622599563202896,0.6172330275222428,0.47619058253535557,0.5006435874683348,0.544424173024124,0.46685757902351654,0.46571786997262327,0.4825001943659093,0.4736447933626662,0.8185890309074768,0.49749278599625196,0.6807959333020692,0.42483278826023846,0.3837600213463186,0.0,0.5832649473936363,0.438453823752694,0.46641831257828964,0.6668259275698732,0.5375335720409574,0.522484136255503,0.5118887398043354,0.6677727471344372,0.07604585032482092,0.7877858278054358
SH,0.551879183261954,0.5627076805039869,0.5474469273499329,0.5367967885840272,0.5561908521695481,0.5511664105359656,0.4868829173668447,0.3226859076587477,0.5244259701463697,0.5218232667929308,0.5152995035377796,0.5308464989378366,0.5146407769921638,0.49357489932124493,0.5546898966601357,0.5479698147374479,0.5477446177581056,0.5243721320886092,0.49273233805387884,0.5100245469212601,0.44290340331060807,0.4859474052149385,0.393772140930792,0.7866862148039953,0.5603951882164021,0.6100039464246249,0.4863773740047443,0.4552197090686677,0.4353070237952928,0.0,0.4937910741265847,0.5572609706793074,0.6041284353535282,0.5810584755623626,0.5002671219000289,0.4859343378582444,0.5567990053140096,0.5662662341174752,0.3429822720259805
T,0.5453244504210835,0.5058187949962754,0.48742867279942786,0.5522724934679378,0.5613944689210877,0.541411114408474,0.4889219829435556,0.4277309474149783,0.22247979955468328,0.5789160829679701,0.4336893212747016,0.47929223747852084,0.48182695312470863,0.49886392893811765,0.5455769986364694,0.5429017266661817,0.48465957929972764,0.47234136643300534,0.4782611875723446,0.44769143494737224,0.44605069484942184,0.4356476165589648,0.5091422194021413,0.8384538219286677,0.4565142318001497,0.6405008495580726,0.47405864945002063,0.43858357845279716,0.43303902278764383,0.6300361554591614,0.0,0.4130741545074304,0.6643325682874183,0.5788794866560146,0.5296642754435795,0.48631575798027804,0.6119387372837932,0.4826969351737161,0.7394706585207305
TH,0.5491950798551753,0.516713249445828,0.5199936997829221,0.5891054317997516,0.559122412252242,0.4933498047540364,0.47892937213220105,0.49618213486922463,0.4410560250836252,0.40292955341382547,0.48414831829435623,0.48114300523359216,0.5079383324485363,0.38518133748645317,0.4805067257812282,0.5605769618623578,0.4874272732479175,0.5054431630780244,0.49862982665988187,0.5165539126625367,0.47990615792789115,0.471601900577105,0.5210172602790996,0.6541219926078151,0.5326058143674046,0.7008964041325935,0.4831879982873732,0.4665498097758819,0.4046502236656289,0.6247191538318236,0.3471390581394325,0.0,0.6117630408666833,0.6160438491483718,0.5684282868676754,0.5027021736625685,0.6204965300410865,0.4035837626202887,0.7329554668850103
UH,0.43098625304059257,0.4810637350377559,0.4176345419194887,0.4367565554346942,0.4764003759427975,0.4350942519231283,0.502757489676083,0.52856645883557,0.5485013024683971,0.6159206908661329,0.4074913490098221,0.43231713788810894,0.4284547827767549,0.4896876119645428,0.5903449446727119,0.5417026999025508,0.3795695935317581,0.4835869776259072,0.5920035047447666,0.5267379890991527,0.5044162654637485,0.5735039310985994,0.5411426966529292,0.7743116502832115,0.44689055160364877,0.5316072085252849,0.5493761851575399,0.49842183856532024,0.5196856133654106,0.5898231552307409,0.5147490746575372,0.5339568961658272,0.0,0.45858906230406743,0.5638639923124967,0.5704002103274246,0.6106525646986588,0.5211252127352449,0.6805916207951705
UW,0.4042659906951484,0.4086465829165609,0.38025897273319714,0.4633398382694916,0.5137234875008904,0.4015624248284343,0.48402751725481025,0.5014109742899682,0.5421018582141777,0.6698261468345518,0.38489065744053497,0.36079964841957973,0.391923441574794,0.5234440738754519,0.5897439888687268,0.6529156590216598,0.3868518084432606,0.40878930972317984,0.5650215834077478,0.5795464764455074,0.5017319736701775,0.5205604779399686,0.49467347058181105,0.8667428351685849,0.33216789841191086,0.4751990790551183,0.4875417700457384,0.4747382597945673,0.4978824733357379,0.6769882595413418,0.5336098407407384,0.6380599223597054,0.5323033369651093,0.0,0.4523656814712788,0.5452705207126451,0.6434695839014816,0.5117134165456977,0.6690526643558965
V,0.5324189911750739,0.5367934321658958,0.525362230959681,0.5345997475277358,0.6513201133051351,0.5642905521318086,0.23341984777859887,0.4911412306483128,0.4530491976577753,0.4536766171070956,0.5025443621527907,0.4957451402439989,0.553852543926839,0.2718429300323007,0.3917171297249542,0.5448746050667986,0.515445523580999,0.5131967515473307,0.4354696132132862,0.45105791145480567,0.46357793492975025,0.37016965946852276,0.42007015404635073,0.8982391100197832,0.54349177344327,0.6937145869117909,0.42013056017295164,0.46799474992513485,0.5000268804312619,0.5959229015988291,0.4944481058229383,0.6002381721695105,0.6925281654522265,0.47308389539931117,0.0,0.5146646760629147,0.6421591679684321,0.46465810032909605,0.5850996538297026
W,0.57766092899655,0.45569898523780666,0.5103781315716774,0.5540914711774866,0.5784925787965911,0.5461849530918097,0.4961486167835984,0.44763039459386544,0.5285944480517702,0.5472100075798283,0.5130760926605814,0.4915464878533679,0.50603639628748,0.5045131831218537,0.5195874947482497,0.5639317775707574,0.5085090545175851,0.5227978052056501,0.4975942375456653,0.4940332236513913,0.18838217061264828,0.44634011748537555,0.44604127269648153,0.7084509175479813,0.5415044468723207,0.7015599986469214,0.4892172512334652,0.4008629273154228,0.4623428344686485,0.5451031836247283,0.43746226854416115,0.5039565371758056,0.6584652764634142,0.5361980080446409,0.4823078025039582,0.0,0.6064921302357913,0.5228070712581276,0.6468543313189886
Y,0.5476998741270288,0.5403766921804657,0.490187763412877,0.5625921411658802,0.60820258441081,0.5403858327014395,0.5465240208740643,0.5138786507192915,0.5019351032975498,0.586727256046238,0.48906231730989586,0.4866908662826998,0.4934420971470416,0.5408777593032682,0.517980027509963,0.549112473354708,0.47233295288955046,0.3383938599763158,0.5092554218049112,0.5221136215228369,0.4304455307150974,0.512961681262446,0.5525825910807537,0.7657143415610596,0.557580692118949,0.597981899447917,0.5277531635584745,0.44218534524451714,0.4973645091953504,0.5207318207872722,0.4535692550814044,0.517162260351964,0.5843127490844168,0.5179173473118638,0.5022339580014671,0.5048722901379802,0.0,0.5171952214763053,0.4184745729308884
Z,0.5233964562020575,0.46950017708243214,0.49225417285521045,0.5541010694367373,0.5534815756154282,0.5159299614384538,0.42079637712321105,0.46851762301438565,0.37655852844395166,0.4722073050389638,0.45415318757003725,0.46387851562085325,0.499279430158787,0.49430375778775376,0.4399666157508587,0.6235107076614127,0.4641347992403923,0.4903869814605795,0.381343871061042,0.5589943356842221,0.4801041871862304,0.4983472320976001,0.49690369717610927,0.8204576638670007,0.4935650096551905,0.6793539013005968,0.4734178416240902,0.41863159773143266,0.0725604572154479,0.6960602543119583,0.46641942553837873,0.4472522744030162,0.6566010931866235,0.5434250801338769,0.4736540729958757,0.5678010827519742,0.6782978671489029,0.0,0.7228224145705906
ZH,0.5616109371325863,0.5436911478844905,0.5485412052355818,0.5380350276393204,0.5851472868798712,0.53804884215379,0.5008449510735149,0.48770837605739575,0.5369157919075306,0.5618569566332566,0.5080982360397104,0.5261410631158756,0.5310664546451337,0.5077581551982098,0.4766671498335073,0.5756165085425667,0.53902093628261,0.5485337069830758,0.44706338979368637,0.5092612955156096,0.47381334447941065,0.4661398249380278,0.47881229570169653,0.7978738555341346,0.5714122243371206,0.6381050064756749,0.4616857152005265,0.495828361586435,0.5386490879459456,0.21574687261577358,0.5082919332405949,0.5675912360030728,0.6093732172972952,0.5049525159587345,0.4287965505670451,0.5039987234650638,0.3925026813931504,0.48618061484423364,0.0
