,Word,POS,Title,Code,Level,Definition,Example,S_POS,T_IDX,Trigram,Visemes
36,site,noun,HISTORY,[ C ],B1,the place where something important happened in the past,a historic site ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
37,site,noun,AREA,[ C ],B1,an area that is used for something or where something happens,a building site ,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
38,site,noun,INTERNET,[ C ],A2,"short for website (= an area on the Internet where information about a particular subject, organization, etc can be found",,NOUN,2.0,"['DET', 'ADJ', 'NOUN']","['s', 'e', 't']"
39,may,modal verb,POSSIBLE,,B1,used to talk about what is possibly true or will possibly happen,There may be other problems that we don't know about.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['b', 'e']"
40,may,modal verb,PERMISSION,formal ,B1,used to ask or give permission,"May I be excused, please?",VERB,1.0,"['PRON', 'VERB', 'ADV']","['b', 'e']"
41,use,verb,PURPOSE,,A1,"If you use something, you do something with it for a particular purpose",Can I use your pen?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['e', 'u', 's']"
42,use,verb,MAKE LESS,,B1,to take an amount from a supply of something,A shower uses less water than a bath.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['e', 'u', 's']"
43,use,verb,PERSON,,A1,to treat someone badly in order to get what you want,He was just using me to make his girlfriend jealous.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['e', 'u', 's']"
44,use,verb,WORD,,A1,to say or write a particular word or phrase,'Autumn' is used in British English and 'fall' in American English.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['e', 'u', 's']"
45,see,verb,EYES,"[ I,  T ]",A1,to notice people and things with your eyes,Have you seen Jo?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
46,see,verb,UNDERSTAND,"[ I,  T ]",B1,to understand something,I see what you mean.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
47,see,verb,MEET,[ T ],A1,to meet or visit someone,I'm seeing Peter tonight.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
48,see,verb,WATCH,[ T ],A2,"to watch a film, television programme, etc",Did you see that programme last night?,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
49,see,verb,INFORMATION,[ T ],B1,to find out information,I'll just see what time the train gets in.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
50,see,verb,IMAGINE,[ T ],B2,to imagine or think about something or someone in a particular way,I just can't see him as a father.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
51,see,verb,BELIEVE,[ T ],A1,to believe that something will happen,I can't see us finishing on time.,VERB,1.0,"['PRON', 'VERB', 'ADV']","['s', 'i']"
